group,n,positive,threshold,AUROC,AUPRC,Recall,Specificity,FNR,TP,FP,TN,FN
Female,9553,1127,0.59,0.8600315160894438,0.46870269380919966,0.5927240461401952,0.8965107999050558,0.4072759538598048,668,872,7554,459
Male,12741,1426,0.59,0.8646971619175231,0.4641693875003673,0.6360448807854138,0.8846663720724701,0.36395511921458623,907,1305,10010,519
