model_variant,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
r50_baseline,Atelectasis,22294.0,2207.0,20087.0,0.8092360270280855,0.3406163687094626,0.5197100135931129,0.5197100135931129,0.4802899864068872,0.8760226348716417,0.8760226348716417,0.12397736512835832,0.0,0.0,0.0,0.004417125254262733,0.006860768466504971,0.01992111276572775,0.01992111276572775,0.01992111276572779,0.014095162769350408,0.014095162769350408,0.01409516276935034,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Consolidation,22294.0,951.0,21343.0,0.8077159569141736,0.14755832414813594,0.3722397476340695,0.3722397476340695,0.6277602523659306,0.9194427525027722,0.9194427525027722,0.08055724749722781,0.0,0.0,0.0,0.004402296477315159,0.0036149615788423728,0.07115489872015633,0.07115489872015633,0.07115489872015636,0.018790308794735786,0.018790308794735786,0.018790308794735817,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Effusion,22294.0,2553.0,19741.0,0.8718073916865662,0.49103757183346014,0.6438177307742525,0.6438177307742525,0.35618226922574747,0.8907856744845754,0.8907856744845754,0.10921432551542476,0.0,0.0,0.0,0.0020159425662830384,0.0007592293422712374,0.04919230340374044,0.04919230340374044,0.04919230340374045,0.0201199975659212,0.0201199975659212,0.02011999756592118,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Infiltration,22294.0,4097.0,18197.0,0.7068790831155457,0.34757779328804234,0.5504840940525587,0.5504840940525587,0.44951590594744123,0.7455258192742393,0.7455258192742393,0.25447418072576067,0.0,0.0,0.0,0.002353650917717812,0.0035172366515590133,0.04262855068388315,0.04262855068388315,0.04262855068388316,0.04313899062011305,0.04313899062011305,0.04313899062011297,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Mass,22294.0,1076.0,21218.0,0.8329649237519335,0.28981278641887415,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.953058723725139,0.953058723725139,0.04694127627486097,0.0,0.0,0.0,0.004077059494427662,0.002907135756541277,0.05142969626947355,0.05142969626947355,0.05142969626947356,0.01063056390047189,0.01063056390047189,0.010630563900471896,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Nodule,22294.0,1280.0,21014.0,0.7662848031867644,0.22387471662199868,0.3515625,0.3515625,0.6484375,0.9369467973731798,0.9369467973731798,0.06305320262682022,0.0,0.0,0.0,0.0021239461349644054,0.004186034893758789,0.030146533408710537,0.030146533408710537,0.03014653340871051,0.016048784907580303,0.016048784907580303,0.016048784907580375,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Pneumothorax,22294.0,1020.0,21274.0,0.8690660021960589,0.30963765331754856,0.44836601307189544,0.44836601307189544,0.5516339869281045,0.9586036163078563,0.9586036163078563,0.041396383692143775,0.0,0.0,0.0,0.005875069838887685,0.00968158704432705,0.042069372658180615,0.042069372658180615,0.04206937265818063,0.007354607640800466,0.007354607640800466,0.007354607640800442,3,3,3,3,3,3,3,3,3,3,3
