group,n,positive,threshold,AUROC,AUPRC,Recall,Specificity,FNR,TP,FP,TN,FN
Female,9553,1127,0.6849999999999999,0.8622428971382152,0.48210581014476234,0.639751552795031,0.8789461191549964,0.36024844720496896,721,1020,7406,406
Male,12741,1426,0.6849999999999999,0.8805361449105962,0.5062326914306569,0.6549789621318373,0.8980114891736632,0.3450210378681627,934,1154,10161,492
