model_variant,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
r50_dynamic_grl_fast_ramp_v2,Atelectasis,22294.0,2207.0,20087.0,0.8085615407142951,0.3378583687372612,0.5349645068720738,0.5349645068720738,0.4650354931279263,0.865966379582151,0.865966379582151,0.13403362041784903,0.0,0.0,0.0,0.002146867340546614,0.004805959524185911,0.04851667276197196,0.04851667276197196,0.048516672761971975,0.02056395651572074,0.02056395651572074,0.02056395651572073,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Consolidation,22294.0,951.0,21343.0,0.8100524622624747,0.14761345365678682,0.46021731510690506,0.46021731510690506,0.539782684893095,0.8874260100891783,0.8874260100891783,0.11257398991082164,0.0,0.0,0.0,0.0050046110949600745,0.011083104872198893,0.06802749972076062,0.06802749972076062,0.06802749972076064,0.0185238576147255,0.0185238576147255,0.018523857614725525,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Effusion,22294.0,2553.0,19741.0,0.8722030494670973,0.49035362613108346,0.6261914088001045,0.6261914088001045,0.37380859119989557,0.8953615993786198,0.8953615993786198,0.1046384006213802,0.0,0.0,0.0,0.003329789287061202,0.007497190486083922,0.037611659534683956,0.037611659534683956,0.037611659534683935,0.013729581480647306,0.013729581480647306,0.013729581480647303,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Infiltration,22294.0,4097.0,18197.0,0.70251514035898,0.3472292966933923,0.512976975022374,0.512976975022374,0.48702302497762595,0.7742851385759558,0.7742851385759558,0.22571486142404426,0.0,0.0,0.0,0.003732107951385886,0.0022130594324060344,0.04009274019353361,0.04009274019353361,0.040092740193533594,0.03748649366679172,0.03748649366679172,0.03748649366679167,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Mass,22294.0,1076.0,21218.0,0.8369060725953029,0.2963309736426325,0.37918215613382894,0.37918215613382894,0.620817843866171,0.9629716907028624,0.9629716907028624,0.03702830929713765,0.0,0.0,0.0,0.00302060595625719,0.012718933831969497,0.028265625140791017,0.028265625140791017,0.028265625140790965,0.0036054550221684277,0.0036054550221684277,0.003605455022168465,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Nodule,22294.0,1280.0,21014.0,0.7658451471340535,0.2267256555736601,0.3932291666666667,0.3932291666666667,0.6067708333333334,0.9233050981885093,0.9233050981885093,0.07669490181149075,0.0,0.0,0.0,0.007800649482501209,0.008034099002522735,0.011959335940838572,0.011959335940838572,0.011959335940838554,0.007921014339939183,0.007921014339939183,0.007921014339939221,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Pneumothorax,22294.0,1020.0,21274.0,0.8668087668460259,0.30309066571815935,0.44803921568627453,0.44803921568627453,0.5519607843137254,0.9587132963554886,0.9587132963554886,0.04128670364451129,0.0,0.0,0.0,0.005678811831804558,0.0032231850408835855,0.016198736903782665,0.016198736903782665,0.01619873690378261,0.0025961184009442155,0.0025961184009442155,0.00259611840094421,3,3,3,3,3,3,3,3,3,3,3
