seed,epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc
42,1,1.0410562604047968,0.9828419397054258,0.7896907585678653,0.27522656852859173
42,2,0.952418503220147,0.9574329757934225,0.8030485492125523,0.2870416447429115
42,3,0.9029747883416833,0.9618742801191208,0.8007676567172408,0.29016146914951435
42,4,0.8488670887267009,0.9589106581324933,0.8089058259610232,0.2967134081091079
42,5,0.7926840404117024,0.9691347447223536,0.8031065824209165,0.2905533010894848
42,6,0.7231375480814205,1.0282064219713103,0.7945050349246612,0.2778745548338334
42,7,0.6576709465353718,1.0918038181330008,0.7970413185034831,0.2837271656504919
42,8,0.5992837282890446,1.2088608094614781,0.7926097802353457,0.2733563559430365
42,9,0.5431493134745742,1.3087575996040721,0.7810281453179388,0.268134589679898
42,10,0.4981860611783065,1.4637133210508353,0.7828396662138445,0.26131670086784636
42,11,0.4537091607338514,1.5866985808036582,0.7770296497997499,0.2603922055940368
42,12,0.4143795493464543,1.8131632038004308,0.7681683520698789,0.24552567473244666
