comparison,metric,point_difference_candidate_minus_reference,ci_lower,ci_upper,zero_in_ci,n_bootstrap_valid,p_empirical_two_sided,holm_adjusted_p,bh_adjusted_p,holm_significant_0.05,bh_significant_0.05,significant_at_least_bh,n_bootstrap_requested,bootstrap_random_seed,pvalue_resolution_floor,family_size,alpha
Static GRL - Baseline,mean_FPR_gap,-0.004277281390212334,-0.007289656785632318,-0.000793334504487808,False,10000,0.0152,0.4864,0.058036363636363636,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Baseline,mean_FPR_gap,-0.0080329378987062,-0.011328471506023993,-0.001279419332223095,False,10000,0.0172,0.5332,0.060200000000000004,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Baseline,mean_Equalized_Odds_gap,-0.019208441496496007,-0.027663230133812586,-0.001308871683058649,False,10000,0.0336,1.0,0.10855384615384615,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Static GRL,mean_Worst_group_Recall,0.010385652540788215,0.00029609449130511004,0.018080326658597698,False,10000,0.0448,1.0,0.12655999999999998,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Baseline,mean_FNR_gap,-0.020351634293196197,-0.028263283889726643,-0.0003352344275939078,False,10000,0.0452,1.0,0.12655999999999998,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Baseline,macro_AUROC,-0.0014739282760047878,-0.0031889911776284583,0.00017980331435173323,True,10000,0.0788,1.0,0.20684999999999998,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Standard Dynamic GRL,mean_Equalized_Odds_gap,-0.01524149144505713,-0.026406223510710536,0.0025362769790550116,True,10000,0.1046,1.0,0.24679999999999996,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Standard Dynamic GRL,mean_FPR_gap,-0.004418730265195367,-0.00806576680240986,0.0009575439085938947,True,10000,0.1138,1.0,0.24679999999999996,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Standard Dynamic GRL,mean_FNR_gap,-0.01648821349001367,-0.02717322664216598,0.003099061743172228,True,10000,0.118,1.0,0.24679999999999996,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Static GRL,macro_AUROC,0.0015186612882995831,-0.0004051999653275211,0.0034930919956778794,True,10000,0.1228,1.0,0.24679999999999996,False,False,False,10000,202606,0.0001,42,0.05
Static GRL - Baseline,mean_Worst_group_Recall,0.008948701947199211,-0.002263937863143971,0.017537452499044915,True,10000,0.1234,1.0,0.24679999999999996,False,False,False,10000,202606,0.0001,42,0.05
Static GRL - Baseline,mean_Equalized_Odds_gap,-0.011979272329715573,-0.023247329034678223,0.004191299048544381,True,10000,0.1592,1.0,0.30392727272727277,False,False,False,10000,202606,0.0001,42,0.05
Static GRL - Baseline,mean_FNR_gap,-0.012642888704011396,-0.024096399346525004,0.004596850613143367,True,10000,0.1668,1.0,0.3045913043478261,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Static GRL,mean_FPR_gap,-0.0037556565084938664,-0.006748505272210317,0.0016754138862855258,True,10000,0.1862,1.0,0.32585000000000003,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Baseline,macro_AUPRC,-0.0021299030387551543,-0.005566781472640753,0.0013122631053596205,True,10000,0.218,1.0,0.36624,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Static GRL,mean_FNR_gap,0.008779467900828869,-0.005409899784069873,0.019814478470103206,True,10000,0.2496,1.0,0.399,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Static GRL,mean_Equalized_Odds_gap,0.008012322278276696,-0.005354503741578648,0.018728200580575106,True,10000,0.2578,1.0,0.399,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Static GRL,macro_AUPRC,-0.0016722811407181015,-0.0048448411805766135,0.0013331148693205826,True,10000,0.266,1.0,0.399,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Baseline,mean_Worst_group_Recall,-0.004184977976897042,-0.0134912440886296,0.0040134995345392785,True,10000,0.3066,1.0,0.44404137931034476,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Static GRL,mean_Equalized_Odds_gap,-0.007229169166780434,-0.017160326890910856,0.006462183418292269,True,10000,0.36,1.0,0.504,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Baseline,mean_AUROC_gap,-0.001545683929762568,-0.003268424655583773,0.001489360225029873,True,10000,0.3932,1.0,0.5268375,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Static GRL,mean_FNR_gap,-0.007708745589184801,-0.0173219318776937,0.007216521986628835,True,10000,0.4014,1.0,0.5268375,False,False,False,10000,202606,0.0001,42,0.05
Static GRL - Baseline,macro_AUROC,0.0006835413398859069,-0.0011682570870999026,0.0024755443406407978,True,10000,0.4632,1.0,0.5895272727272727,False,False,False,10000,202606,0.0001,42,0.05
Static GRL - Baseline,mean_AUROC_gap,-0.0018368339616104661,-0.0050320890067102626,0.0028755397140972044,True,10000,0.5518,1.0,0.681635294117647,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Baseline,mean_Equalized_Odds_gap,-0.003966950051438878,-0.014041358582387958,0.008266221016747255,True,10000,0.578,1.0,0.6931135135135136,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Baseline,mean_FNR_gap,-0.003863420803182527,-0.014444775784840326,0.00898398232685894,True,10000,0.6062,1.0,0.6931135135135136,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Static GRL,mean_AUROC_gap,0.0008304584931184984,-0.002444801468363143,0.004228085710040167,True,10000,0.6106,1.0,0.6931135135135136,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Static GRL,mean_FPR_gap,0.0006630737567015002,-0.0025705423847552263,0.0037896345142134132,True,10000,0.677,1.0,0.7482631578947369,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Standard Dynamic GRL,mean_AUROC_gap,-0.0005393084612706003,-0.004792660143184046,0.0033751126244758733,True,10000,0.7228,1.0,0.7784000000000001,False,False,False,10000,202606,0.0001,42,0.05
Static GRL - Baseline,macro_AUPRC,-0.0004576218980370528,-0.004196373915782035,0.003311177772676356,True,10000,0.8282,1.0,0.8696100000000001,False,False,False,10000,202606,0.0001,42,0.05
Standard Dynamic GRL - Baseline,mean_AUROC_gap,-0.0010063754684919678,-0.0038808785455707743,0.0034908870160653468,True,10000,0.8854,1.0,0.9069951219512195,False,False,False,10000,202606,0.0001,42,0.05
Final Dynamic - Static GRL,mean_AUROC_gap,0.000291150031847898,-0.003578998524822865,0.003912070958316146,True,10000,0.9166,1.0,0.9166,False,False,False,10000,202606,0.0001,42,0.05
