seed,epoch,lambda_adv,train_loss,train_disease_loss,train_sex_loss,val_loss,val_disease_loss,val_sex_loss,val_macro_auroc,val_macro_auprc,val_sex_auroc,val_sex_accuracy
123,1,0.1,1.7349543917282337,1.0481379446351509,0.6868164473666477,1.6629001373984786,0.9700667744062486,0.6928333603311627,0.795046683751372,0.28062526261780785,0.5029139315162159,0.5614900027389756
123,2,0.1,1.6442015027406802,0.960119828234375,0.6840816741382773,1.6596130618632878,0.9677940897230666,0.6918189713729197,0.7932082055421794,0.2888491254722325,0.5263455307545096,0.5381174107550443
123,3,0.1,1.5906049895966392,0.9079513712515325,0.6826536181335096,1.6391361414499177,0.9460804716241008,0.6930556707346068,0.8059734115867421,0.2964517839225695,0.49169643584804923,0.5286222952615721
123,4,0.1,1.5417246616769502,0.8579016856676988,0.6838229760092515,1.646360804084925,0.9596288866466947,0.6867319160070222,0.8075398523351798,0.29446320550490873,0.5179397043751094,0.5616726011138501
123,5,0.1,1.483960729444376,0.7996806700661635,0.6842800603810316,1.6756387762116545,0.9880254543895298,0.6876133184427324,0.8004649105583256,0.28701020203084504,0.501390803553482,0.5604857116771661
123,6,0.1,1.4184454763447856,0.734205970705457,0.6842395055116144,1.752107883385629,1.0657721898070995,0.6863356938288547,0.7997005006691938,0.2912224106077797,0.5342834371571006,0.5504428010590706
123,7,0.1,1.354673551660386,0.6710824352504259,0.683591116923839,1.7939218125647631,1.1103460413782953,0.6835757745332091,0.7957069342796205,0.28185540655804675,0.5397199667964472,0.5599379165525427
123,8,0.1,1.2995783443883069,0.6153691576804724,0.684209186849907,1.9145022547431136,1.2303905525969814,0.684111700045576,0.7926614277339452,0.2760081514024864,0.534614426012855,0.5613074043641012
123,9,0.1,1.2447245169941592,0.5599727083156778,0.6847518088481369,2.1437562880075913,1.4558967037700707,0.6878595867625418,0.7842493898481708,0.2681310440064177,0.49208985242330994,0.5607596092394778
123,10,0.1,1.1958172429007405,0.5113284599203225,0.6844887839477193,2.111021930198631,1.4258549221191277,0.6851670071543879,0.7812788249874646,0.2671552918858516,0.5275963885005364,0.5583858303661098
123,11,0.1,1.1572580487184043,0.4727001234979904,0.6845579264420094,2.2073619291900575,1.5250627583296323,0.6822991722807497,0.7795105498588074,0.2632375422667881,0.5486916904606719,0.5610335068017894
123,12,0.1,1.1183165960041166,0.4346499231215243,0.6836666724027203,2.3923917974302955,1.7081427271753797,0.6842490730574716,0.779440525564745,0.262025665120536,0.5316250934637466,0.5639550807997809
