seed,epoch,lambda_start,lambda_end,lambda_mean,train_loss,train_disease_loss,train_sex_loss,val_loss,val_disease_loss,val_sex_loss,val_macro_auroc,val_macro_auprc,val_sex_auroc,val_sex_accuracy
2026,1,0.0,0.039405312522701366,0.020253359046594532,1.6911442343778464,1.0461010983788803,0.645043135442768,1.6888726849235118,0.9880961923199594,0.700776495520387,0.7859334105911594,0.26518023901536275,0.5397053167754562,0.5586597279284214
2026,2,0.0394124517069363,0.06822241413783825,0.054907351263164934,1.6534765769240323,0.9586220199615056,0.6948545568053403,1.6421144251125561,0.9568080371192174,0.6853063854846434,0.7980054637970765,0.2882296472522658,0.5374807830678411,0.5709851182324477
2026,3,0.06822693195759509,0.08482658639252363,0.07741062171972064,1.5904437894669905,0.9053471688559345,0.6850966204599153,1.6289336451175473,0.9414702592609593,0.6874633851382631,0.8091856678186182,0.29611794655914797,0.5133888997620836,0.5544599653063088
2026,4,0.0848289564876801,0.09311021123792491,0.08947868500898264,1.5395094949769614,0.8542531229503747,0.6852563722737021,1.6403339102226209,0.9570207607253092,0.6833131491708002,0.8063536193732251,0.2959758739110924,0.5388624748163598,0.5678809458595818
2026,5,0.09311133565167905,0.09694627272492673,0.09527969388299463,1.4824664512094186,0.7979082147904587,0.6845582367265314,1.6692725502605537,0.9884008940829323,0.6808716583706892,0.8055881068648391,0.29133944550889,0.5569320478168556,0.5669679539852095
2026,6,0.0969467809915715,0.09866131743437499,0.09791929196226623,1.4162477948845689,0.7308201106034485,0.6854276840997513,1.71943219198023,1.0317272640717778,0.6877049292144978,0.8014004726790006,0.291056417099242,0.5187449135635213,0.554186067743997
2026,7,0.09866154218654043,0.09941600903160511,0.09909008681216229,1.3527864405218124,0.6687739164257972,0.6840125241564714,1.7425084583815686,1.0590216502047973,0.683486810331746,0.7987981936974123,0.2822735625807296,0.5281861153570767,0.5715329133570711
2026,8,0.0994161074505807,0.09974578244202076,0.09960348096705521,1.2944894389742374,0.6097237464527616,0.6847656923042109,1.9069250383127185,1.2151884316179096,0.6917366089749465,0.7911986868424055,0.2788978445938335,0.4785587373707504,0.5622203962384735
2026,9,0.09974582535569786,0.09988943960312516,0.09982747153272999,1.241215830973096,0.557199362559758,0.6840164684751169,2.0234402628518735,1.3376009536205247,0.6858393090408839,0.7865556700462603,0.2700813350286894,0.5219329274955726,0.5573815393043002
2026,10,0.09988945827990309,0.09995193630369828,0.09992498181286916,1.1932402864583522,0.5085003929031296,0.6847398931380739,2.0295424908249933,1.3528483203913015,0.6766941696500643,0.786815684473147,0.26594655963671937,0.5847431395730026,0.5857755865972792
2026,11,0.09995194442555409,0.09997910905931323,0.09996739037822673,1.1524473436509948,0.46834844344240195,0.6840989007186931,2.218401447318084,1.5346133485946614,0.6837880983316091,0.7804163702173273,0.2589586179314221,0.5403857552070578,0.5640463799872181
2026,12,0.09997911258996679,0.09999092042625952,0.09998582673507563,1.112242623371083,0.42775607393138976,0.6844865498417279,2.3243555461044543,1.641401654828534,0.682953887325133,0.7755571911711961,0.2538629219046432,0.5487866022729652,0.5621290970510362
