model_variant,label,test_AUROC_mean,test_AUPRC_mean,female_AUROC_mean,male_AUROC_mean,female_FNR_mean,male_FNR_mean,female_FPR_mean,male_FPR_mean,FNR_gap_mean,FPR_gap_mean,Equalized_Odds_gap_mean,AUROC_gap_mean,AUPRC_gap_mean,Worst_group_Recall_mean,Worst_group_AUROC_mean,test_AUROC_std,test_AUPRC_std,female_AUROC_std,male_AUROC_std,female_FNR_std,male_FNR_std,female_FPR_std,male_FPR_std,FNR_gap_std,FPR_gap_std,Equalized_Odds_gap_std,AUROC_gap_std,AUPRC_gap_std,Worst_group_Recall_std,Worst_group_AUROC_std,test_AUROC_n_seeds,test_AUPRC_n_seeds,female_AUROC_n_seeds,male_AUROC_n_seeds,female_FNR_n_seeds,male_FNR_n_seeds,female_FPR_n_seeds,male_FPR_n_seeds,FNR_gap_n_seeds,FPR_gap_n_seeds,Equalized_Odds_gap_n_seeds,AUROC_gap_n_seeds,AUPRC_gap_n_seeds,Worst_group_Recall_n_seeds,Worst_group_AUROC_n_seeds
r50_dynamic_grl_fast_ramp_v2,Atelectasis,0.8085615407142951,0.3378583687372612,0.8101091552602964,0.8070029932928363,0.4811320754716981,0.4549914152563159,0.12433467355925713,0.14145141451414514,0.03423600409105846,0.017116740954888007,0.034236004091058404,0.0037173117526335675,0.03274141604965417,0.5148202525904638,0.8066974184002497,0.002146867340546614,0.004805959524185911,0.002984223582777889,0.003472314219657549,0.0679883740820735,0.036948403350798215,0.028375737620377334,0.014591574889286621,0.019437213023990874,0.013791391676699457,0.019437213023990905,0.0039802395636215305,0.011638280535348973,0.06151223552473937,0.002943807142654024,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Consolidation,0.8100524622624747,0.14761345365678682,0.7945186701695425,0.8189360620704841,0.5869565217391305,0.5100057175528874,0.0954817637452368,0.12548664802324944,0.0769508041862431,0.03000488427801264,0.07695080418624306,0.024417391900941648,0.03014765523307413,0.41304347826086957,0.7945186701695425,0.0050046110949600745,0.011083104872198893,0.005582214636808448,0.007985833304809281,0.0920309468580223,0.053540845551101036,0.025209721308056713,0.013529456696239258,0.04142358163873291,0.011887069934905537,0.0414235816387329,0.010664193214701332,0.008605114902359292,0.09203094685802228,0.005582214636808448,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Effusion,0.8722030494670973,0.49035362613108346,0.8684231698437949,0.8758786643768475,0.3847973972197574,0.36512388966806925,0.10162987578131182,0.10687877448814258,0.021429048477736135,0.006820491966714142,0.021429048477736117,0.007455494533052683,0.01937579849106617,0.6143248323172187,0.8684231698437949,0.003329789287061202,0.007497190486083922,0.0025441651290533823,0.0036083101864605293,0.02343129526215717,0.048818801736336445,0.007610666652042636,0.018402283414152776,0.023158223334869145,0.00977209136984915,0.02315822333486917,0.00205160189734149,0.013450521238949586,0.024614161475770554,0.0025441651290533823,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Infiltration,0.70251514035898,0.3472292966933923,0.7013212441486304,0.7027175602072683,0.502868447082097,0.4759535655058043,0.21267581765802404,0.23564720689321328,0.026914881576292644,0.02297138923518922,0.029824435784360864,0.003888530617678613,0.009370241251319375,0.49713155291790306,0.7000751368691099,0.003732107951385886,0.0022130594324060344,0.0011189606755490878,0.006107184885849701,0.040379349783337126,0.03990450884084896,0.030108961039419527,0.04314845374643451,0.0016011249080791039,0.013317255778374693,0.005539258261529556,0.003823726179774162,0.008675589379991073,0.04037934978333711,0.0028094991231627036,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Mass,0.8369060725953029,0.2963309736426325,0.8437614200623685,0.8318962160761528,0.6556343577620173,0.5982644206227667,0.029937933552391383,0.04238363114934921,0.05736993713925057,0.01244569759695783,0.057369937139250614,0.011865203986215711,0.015722704453168496,0.34436564223798266,0.8318962160761528,0.00302060595625719,0.012718933831969497,0.003066592924895623,0.0035658555161004165,0.018961716966928218,0.03654013306416192,0.004283317817031753,0.0036776944678690586,0.025298406579316965,0.0032571717799447317,0.02529840657931689,0.0021473130954070938,0.021637825394895973,0.01896171696692823,0.0035658555161004165,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Nodule,0.7658451471340535,0.2267256555736601,0.7642427381291282,0.7686731693440176,0.6342592592592592,0.5842803030303031,0.07081059002636368,0.08108332641023511,0.04997895622895624,0.010272736383871434,0.04997895622895624,0.00718994784899496,0.0095088617509367,0.36574074074074076,0.7628629798120755,0.007800649482501209,0.008034099002522735,0.008571858018981351,0.008733733979223744,0.016409082035599352,0.015710852294542624,0.00818310566339885,0.008180887816541475,0.021452070674807797,0.0041429207742836455,0.021452070674807797,0.004237935152071479,0.005591689502085689,0.016409082035599334,0.006879033439686003,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Pneumothorax,0.8668087668460259,0.30309066571815935,0.8548045193592121,0.8798044582878185,0.5331010452961672,0.5762331838565022,0.051787504176411626,0.033618001897790434,0.04313213856033501,0.018169502278621196,0.04891298446242196,0.024999938928606486,0.07334189788636387,0.42376681614349776,0.8548045193592121,0.005678811831804558,0.0032231850408835855,0.005036992626518722,0.008903551809907212,0.028679577758108594,0.019928687034339893,0.005349286093561787,0.0010169445212694062,0.038992913428756056,0.004932733015700131,0.030982807746576906,0.01057464440183689,0.03573290776695371,0.019928687034339893,0.005036992626518722,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
