model,label,AUROC_mean,AUPRC_mean,TPR_mean,FNR_mean,TNR_mean,FPR_mean,AUROC_std,AUPRC_std,TPR_std,FNR_std,TNR_std,FPR_std,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,FNR_n_seeds,TNR_n_seeds,FPR_n_seeds
Baseline,Atelectasis,0.8092360270280855,0.34061636870946255,0.5197100135931129,0.4802899864068871,0.8760226348716417,0.12397736512835826,0.004417125254262733,0.006860768466504955,0.01992111276572775,0.019921112765727812,0.014095162769350408,0.014095162769350376,3,3,3,3,3,3
Baseline,Consolidation,0.8077159569141736,0.14755832414813588,0.37223974763406936,0.6277602523659306,0.9194427525027722,0.08055724749722777,0.004402296477315159,0.003614961578842352,0.07115489872015629,0.07115489872015636,0.018790308794735786,0.01879030879473584,3,3,3,3,3,3
Baseline,Effusion,0.8718073916865662,0.4910375718334601,0.6438177307742525,0.3561822692257474,0.8907856744845754,0.1092143255154247,0.0020159425662830384,0.0007592293422712606,0.04919230340374044,0.049192303403740485,0.0201199975659212,0.02011999756592114,3,3,3,3,3,3
Baseline,Infiltration,0.7068790831155457,0.34757779328804234,0.5504840940525587,0.4495159059474412,0.7455258192742393,0.2544741807257606,0.002353650917717812,0.0035172366515590133,0.04262855068388315,0.04262855068388322,0.04313899062011305,0.043138990620113025,3,3,3,3,3,3
Baseline,Mass,0.8329649237519335,0.28981278641887404,0.4166666666666667,0.5833333333333334,0.9530587237251389,0.04694127627486094,0.004077059494427662,0.002907135756541327,0.05142969626947356,0.05142969626947356,0.01063056390047189,0.010630563900471863,3,3,3,3,3,3
Baseline,Nodule,0.7662848031867644,0.22387471662199865,0.3515625,0.6484375,0.9369467973731798,0.06305320262682017,0.0021239461349644054,0.004186034893758813,0.030146533408710537,0.03014653340871051,0.016048784907580365,0.016048784907580365,3,3,3,3,3,3
Baseline,Pneumothorax,0.8690660021960589,0.3096376533175485,0.4483660130718954,0.5516339869281045,0.9586036163078563,0.041396383692143705,0.005875069838887685,0.009681587044327082,0.04206937265818061,0.04206937265818063,0.0073546076408005385,0.007354607640800419,3,3,3,3,3,3
Final Dynamic,Atelectasis,0.8141578996190616,0.3493267456219531,0.5286210542214166,0.4713789457785833,0.8770680871542126,0.12293191284578747,0.0014084913681682988,0.0025381237006223928,0.034341359463815516,0.034341359463815474,0.015296106025447417,0.015296106025447481,3,3,3,3,3,3
Final Dynamic,Consolidation,0.8096400653364565,0.15165143848592358,0.38240448650543285,0.6175955134945671,0.9159443377219697,0.0840556622780302,0.0004899967478582712,0.004460595315288163,0.04018328913372303,0.04018328913372305,0.013108425355799308,0.013108425355799211,3,3,3,3,3,3
Final Dynamic,Effusion,0.8742251555740586,0.49519269652553555,0.5989032510771641,0.40109674892283587,0.9076034648700674,0.09239653512993261,0.0006389158299184303,0.0027225094801449595,0.041960867186344175,0.041960867186344175,0.01377833755931788,0.013778337559317885,3,3,3,3,3,3
Final Dynamic,Infiltration,0.7089143727057715,0.3458495051435952,0.5838418354893825,0.41615816451061755,0.7149896503086589,0.28501034969134104,0.0019546840641742843,0.0018681553124869062,0.04708866588666277,0.04708866588666273,0.04251422017086568,0.04251422017086563,3,3,3,3,3,3
Final Dynamic,Mass,0.8349962865575661,0.29804437301906134,0.3968401486988847,0.6031598513011153,0.9589970779526817,0.041002922047318265,0.0022215804242833904,0.004949374810667165,0.045415582612901864,0.04541558261290193,0.008995866914410192,0.008995866914410249,3,3,3,3,3,3
Final Dynamic,Nodule,0.7706842883514166,0.2276537460521615,0.3692708333333334,0.6307291666666667,0.9331556739951145,0.06684432600488557,0.005695358877539454,0.0008639793025206117,0.028962501573514567,0.028962501573514553,0.011134857305824893,0.011134857305825004,3,3,3,3,3,3
Final Dynamic,Pneumothorax,0.8667515381320966,0.3121157163665051,0.49084967320261436,0.5091503267973856,0.9497352010278588,0.050264798972141235,0.004823294686431697,0.013336502521680069,0.07221260989473945,0.07221260989473945,0.015075753608598115,0.015075753608598065,3,3,3,3,3,3
Standard Dynamic GRL,Atelectasis,0.8069126944671813,0.3388815282625754,0.5100438000302069,0.48995619996979306,0.8794245034101658,0.12057549658983417,0.00102473547891431,0.002506243282861661,0.03942349909280154,0.03942349909280158,0.01745149311495907,0.01745149311495907,3,3,3,3,3,3
Standard Dynamic GRL,Consolidation,0.8090354497130056,0.14485444783647436,0.38135296179460215,0.6186470382053978,0.9108685127051803,0.0891314872948195,0.0013519804826780826,0.005436291131014948,0.016335338517674085,0.016335338517674033,0.010571972781121035,0.010571972781120981,3,3,3,3,3,3
Standard Dynamic GRL,Effusion,0.8729683061926924,0.4929111949636536,0.6372894633764199,0.3627105366235801,0.8944160208027286,0.10558397919727126,0.0020077307400257318,0.0021923769717782813,0.005553249854585961,0.005553249854585913,0.0031017577638971752,0.003101757763897178,3,3,3,3,3,3
Standard Dynamic GRL,Infiltration,0.703495352107538,0.34598561072059036,0.49548450085428364,0.5045154991457164,0.7893608836621421,0.2106391163378578,0.00429358230762248,0.0014301783845553197,0.028913044461724848,0.028913044461724872,0.03160234225900414,0.03160234225900423,3,3,3,3,3,3
Standard Dynamic GRL,Mass,0.8345660957712484,0.2929943909851563,0.38537794299876077,0.6146220570012392,0.9632544694756024,0.03674553052439747,0.003949717881484295,0.005508528644992575,0.055407276834761356,0.05540727683476129,0.010257671229635449,0.010257671229635354,3,3,3,3,3,3
