label,selected_threshold,threshold_metric,threshold_metric_value,selection_population
Infiltration,0.5099999999999999,validation_f1,0.3930245640352522,complete_validation_set
Effusion,0.735,validation_f1,0.4933078393881453,complete_validation_set
Atelectasis,0.6449999999999999,validation_f1,0.3882488479262673,complete_validation_set
Nodule,0.7599999999999999,validation_f1,0.3055872291904219,complete_validation_set
Mass,0.8899999999999999,validation_f1,0.38596491228070173,complete_validation_set
Pneumothorax,0.8799999999999999,validation_f1,0.39054470709146966,complete_validation_set
Consolidation,0.7899999999999999,validation_f1,0.21727019498607242,complete_validation_set
