epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc
1,0.8834738830101896,0.9579413472642901,0.808248744551784,0.29624474432619763
2,0.8270928376982066,0.9966897874578085,0.8070868892312332,0.29390035023362726
3,0.7696325676283674,0.9874550471684165,0.8042109433099373,0.2944287153629595
4,0.7058055694564099,1.1042369604219555,0.7990999669237165,0.2885524378330042
5,0.6387354940806645,1.0738800706291356,0.7950104183660566,0.2845511765192605
6,0.5840257323847887,1.3181762385181148,0.7844690684152968,0.26538201472100315
7,0.5292538393110269,1.381400383793251,0.7853936357279839,0.27216330386472476
8,0.4834760025440426,1.4716845579607938,0.7825653249843271,0.26200727005173835
9,0.44158403891059067,1.5891515105638963,0.779796391788068,0.2567580568784726
10,0.40522504614575017,1.6786447927242847,0.7728702764392869,0.2551023108846993
11,0.37378538900050257,1.7799681992244798,0.7717994210517486,0.2572368557643041
12,0.3401513605720064,1.9614066916775466,0.7600375316328726,0.23554727673683457
