model_variant,label,test_AUROC_mean,test_AUPRC_mean,female_AUROC_mean,male_AUROC_mean,female_FNR_mean,male_FNR_mean,female_FPR_mean,male_FPR_mean,FNR_gap_mean,FPR_gap_mean,Equalized_Odds_gap_mean,AUROC_gap_mean,AUPRC_gap_mean,Worst_group_Recall_mean,Worst_group_AUROC_mean,test_AUROC_std,test_AUPRC_std,female_AUROC_std,male_AUROC_std,female_FNR_std,male_FNR_std,female_FPR_std,male_FPR_std,FNR_gap_std,FPR_gap_std,Equalized_Odds_gap_std,AUROC_gap_std,AUPRC_gap_std,Worst_group_Recall_std,Worst_group_AUROC_std,test_AUROC_n_seeds,test_AUPRC_n_seeds,female_AUROC_n_seeds,male_AUROC_n_seeds,female_FNR_n_seeds,male_FNR_n_seeds,female_FPR_n_seeds,male_FPR_n_seeds,FNR_gap_n_seeds,FPR_gap_n_seeds,Equalized_Odds_gap_n_seeds,AUROC_gap_n_seeds,AUPRC_gap_n_seeds,Worst_group_Recall_n_seeds,Worst_group_AUROC_n_seeds
r50_baseline,Atelectasis,0.8092360270280855,0.3406163687094626,0.8113324500847123,0.8064836569210851,0.5161163522012578,0.457934755948001,0.10687344438062417,0.1370585134422773,0.05818159625325686,0.030185069061653125,0.05818159625325686,0.004848793163627259,0.020958972654226322,0.4838836477987421,0.8064836569210851,0.004417125254262733,0.006860768466504971,0.0033855474387418467,0.005285049390777139,0.012989553177561597,0.024408589192046956,0.011095746596508447,0.016600981809172105,0.012135169272254552,0.006644345624806062,0.012135169272254576,0.0025470903267717365,0.008825105354110135,0.01298955317756155,0.005285049390777139,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Consolidation,0.8077159569141736,0.14755832414813594,0.7911732858393883,0.8178807037621949,0.6802536231884058,0.5946255002858777,0.0685175104336781,0.08965290343806546,0.08562812290252818,0.02113539300438737,0.08562812290252814,0.02670741792280662,0.026603428191943067,0.3197463768115942,0.7911732858393883,0.004402296477315159,0.0036149615788423728,0.0016098069362187805,0.006985107987362851,0.053687106930208096,0.08305028489456873,0.017484342972671145,0.022616159794343893,0.0343966286648935,0.016880255981101874,0.03439662866489344,0.006658674318404877,0.015850863961097198,0.053687106930208124,0.0016098069362187805,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Effusion,0.8718073916865662,0.49103757183346014,0.8679262115479945,0.8752980906949345,0.3590653652765454,0.35390369331463295,0.10898805285228262,0.1093828251583444,0.018662163322552012,0.004579037794379616,0.018662163322551995,0.007371879146939857,0.027196635307840517,0.6341843890431348,0.8679262115479945,0.0020159425662830384,0.0007592293422712374,0.0023079687815668235,0.0015655679214877372,0.03489214293234234,0.06079718768361383,0.016797487024490527,0.022657319898608044,0.016009359864250443,0.0030128373692883802,0.01600935986425044,0.0012157383932142403,0.007042582816984522,0.046376415697058526,0.0023079687815668235,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Infiltration,0.7068790831155457,0.34757779328804234,0.7057091741730642,0.707489200922593,0.4658753709198813,0.4380873410724157,0.24169632265717675,0.2642075709168361,0.027788029847465628,0.022511248259659344,0.029040903337538403,0.0018097693728180337,0.013377859523174107,0.5341246290801187,0.7056943028614197,0.002353650917717812,0.0035172366515590133,0.00319831792156603,0.0016280886819325965,0.05614193135326891,0.033511209654455906,0.04989404455878596,0.0380072979869547,0.024067645242350028,0.012002809759285337,0.02288482649840236,0.001547615027298575,0.004354030020282996,0.056141931353269,0.003173609926829695,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Mass,0.8329649237519335,0.28981278641887415,0.8412598168301835,0.8271218018688203,0.6130811662726556,0.5640632976008167,0.03745892661555312,0.05410324288550628,0.04901786867183892,0.016644316269953167,0.04925921639362921,0.014138014961363021,0.014981448137007044,0.38691883372734437,0.8271218018688203,0.004077059494427662,0.002907135756541277,0.003308721618106134,0.004513203619526483,0.0747707958045359,0.03631480635392016,0.015706248346824873,0.006803231390660356,0.03847298002203943,0.008920496139735404,0.03806656848939348,0.0012096899147556043,0.012265719789333692,0.07477079580453591,0.004513203619526483,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Nodule,0.7662848031867644,0.22387471662199868,0.7641371764364898,0.7690812584493267,0.6666666666666666,0.6335227272727272,0.05762875496639561,0.06709866799590153,0.03314393939393941,0.009469913029505924,0.03314393939393939,0.011211509984816828,0.022703332037174673,0.3333333333333333,0.7610034624504999,0.0021239461349644054,0.004186034893758789,0.00982261978462189,0.005848777287357922,0.033259104271993106,0.030729130188613542,0.01299914562620148,0.018609349841852897,0.020919839721483334,0.007286131539739507,0.020919839721483396,0.008840688766388244,0.006055096122399118,0.03325910427199312,0.005329934544301908,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Pneumothorax,0.8690660021960589,0.30963765331754856,0.8506962108903223,0.8840828146627105,0.5203252032520326,0.5919282511210762,0.05486876786576086,0.03155754371695812,0.0716030478690437,0.02331122414880274,0.07160304786904371,0.03338660377238826,0.07059055438418917,0.4080717488789238,0.8506962108903223,0.005875069838887685,0.00968158704432705,0.004848172025564983,0.012695133877125757,0.058156152745154156,0.027184653930453283,0.00959106091036651,0.006284851239349818,0.04307614085864367,0.005568197556126269,0.0430761408586437,0.012151265980814526,0.03204350468725938,0.027184653930453242,0.004848172025564983,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
