seed,epoch,lambda_adv,train_loss,train_disease_loss,train_sex_loss,val_loss,val_disease_loss,val_sex_loss,val_macro_auroc,val_macro_auprc,val_sex_auroc,val_sex_accuracy
42,1,0.1,1.730305869441505,1.0427844219200024,0.6875214474361079,1.6944336129096853,1.0019909370155582,0.6924426749853373,0.7863742831907631,0.2703292185937428,0.4998933512344734,0.5439605587510271
42,2,0.1,1.6408120571917837,0.9567922665971188,0.6840197917372893,1.635368824048662,0.9461848780323705,0.6891839447701064,0.806283277436035,0.29074842262855505,0.515066589680383,0.5384826075047932
42,3,0.1,1.5901306725119047,0.9056447839595773,0.6844858879590998,1.6297649583195721,0.9500352590146984,0.6797297032665447,0.8065896790561322,0.2927358303371492,0.5613599446815207,0.5729024011686296
42,4,0.1,1.5357709696225377,0.8512939406783717,0.6844770286721127,1.6510798121809056,0.9651397285010405,0.6859400825969358,0.8062534706036837,0.30364036178239223,0.5113295979675188,0.5642289783620926
42,5,0.1,1.4780266323423077,0.792861791922878,0.6851648406264926,1.6538234233725597,0.9729468871347111,0.6808765363847786,0.8020442698876052,0.28624010448517323,0.5610066335972506,0.5711677166073222
42,6,0.1,1.4138900093497069,0.7290902303474687,0.6847997788276705,1.745443961940965,1.063151303670248,0.6822926593699717,0.7958161504271853,0.2775443095205844,0.5424605538446363,0.5735414954806902
42,7,0.1,1.3494786021418435,0.6650793664001055,0.6843992356540765,1.835207602645364,1.1471856820042423,0.6880219251741876,0.7986978975886674,0.2866337266012205,0.5080503135578712,0.5544599653063088
42,8,0.1,1.2846106631050334,0.6005377987456824,0.6840728647700761,1.9618242232535927,1.2764349409807527,0.6853892817395382,0.79610637066975,0.282388591809183,0.5550293911600317,0.5566511458048023
42,9,0.1,1.232615478381303,0.549555779180151,0.683059699321687,2.0396028471833265,1.356865477428081,0.6827373705171053,0.781619997662629,0.2678391584098918,0.5452785742985722,0.5580206336163608
42,10,0.1,1.1918392631607166,0.5063352182335781,0.685504043932632,2.115116690561933,1.4310101451073174,0.6841065469783354,0.7851530333242044,0.2699725912851034,0.5332388991286608,0.5626768921756596
42,11,0.1,1.147731009087433,0.46351481075876194,0.6842161981148069,2.1456835850682814,1.465786794152073,0.6798967930113226,0.7701147357955237,0.2606658017917201,0.5677500297911987,0.5672418515475213
42,12,0.1,1.103881418964193,0.41989503862742256,0.6839863792912539,2.4746199465664316,1.7830925874162415,0.6915273580835866,0.7753828873479887,0.2554979743940359,0.47258096990387755,0.5594814206153566
