model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Infiltration,9553,1685,7868,0.49499999999999994,0.7095112003849873,0.3374616268476017,0.6189910979228487,0.6189910979228487,0.3810089020771513,0.6888662938485003,0.6888662938485003,0.31113370615149977,1043,2448,5420,642,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Infiltration,12741,2412,10329,0.49499999999999994,0.7108108206827868,0.353776827388652,0.6268656716417911,0.6268656716417911,0.373134328358209,0.6701519992254816,0.6701519992254816,0.32984800077451837,1512,3407,6922,900,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Effusion,9553,1127,8426,0.7699999999999999,0.8705626792972526,0.5133981482136865,0.5696539485359361,0.5696539485359361,0.4303460514640639,0.9197721338713506,0.9197721338713506,0.08022786612864942,642,676,7750,485,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Effusion,12741,1426,11315,0.7699999999999999,0.8758865870188082,0.48477042481219657,0.5490883590462833,0.5490883590462833,0.45091164095371666,0.9216968625718074,0.9216968625718074,0.07830313742819267,783,886,10429,643,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Atelectasis,9553,848,8705,0.6799999999999999,0.8151143210906767,0.3392773682075735,0.5141509433962265,0.5141509433962265,0.4858490566037736,0.8811028144744399,0.8811028144744399,0.11889718552556003,436,1035,7670,412,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Atelectasis,12741,1359,11382,0.6799999999999999,0.8112640642331997,0.3561615324256261,0.5577630610743194,0.5577630610743194,0.44223693892568067,0.8597785977859779,0.8597785977859779,0.14022140221402213,758,1596,9786,601,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Nodule,9553,576,8977,0.7549999999999999,0.7522443543995149,0.23830349454905253,0.3159722222222222,0.3159722222222222,0.6840277777777778,0.9476439790575916,0.9476439790575916,0.05235602094240838,182,470,8507,394,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Nodule,12741,704,12037,0.7549999999999999,0.7748797859063343,0.22144061593424266,0.3522727272727273,0.3522727272727273,0.6477272727272727,0.9447536761651575,0.9447536761651575,0.05524632383484257,248,665,11372,456,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Mass,9553,423,9130,0.845,0.8398110818515842,0.2999143775681509,0.3475177304964539,0.3475177304964539,0.6524822695035462,0.9688937568455641,0.9688937568455641,0.031106243154435925,147,284,8846,276,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Mass,12741,653,12088,0.845,0.8303962620213381,0.30266579802475063,0.3767228177641654,0.3767228177641654,0.6232771822358346,0.9623593646591662,0.9623593646591662,0.03764063534083389,246,455,11633,407,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Pneumothorax,9553,574,8979,0.72,0.8481752622165619,0.3285233023835759,0.5348432055749129,0.5348432055749129,0.4651567944250871,0.9258269295021717,0.9258269295021717,0.07417307049782827,307,666,8313,267,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Pneumothorax,12741,446,12295,0.72,0.8728255497787025,0.26441903181443527,0.5134529147982063,0.5134529147982063,0.48654708520179374,0.952257015046767,0.952257015046767,0.04774298495323302,229,587,11708,217,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Consolidation,9553,368,9185,0.7649999999999999,0.7943252822418405,0.14733059260049156,0.36141304347826086,0.36141304347826086,0.6385869565217391,0.9215024496461622,0.9215024496461622,0.07849755035383778,133,721,8464,235,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Consolidation,12741,583,12158,0.7649999999999999,0.818184075481856,0.1642796614731889,0.3876500857632933,0.3876500857632933,0.6123499142367067,0.9137193617371279,0.9137193617371279,0.08628063826287219,226,1049,11109,357,Male
