model,group,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
Baseline,Female,Atelectasis,9553.0,848.0,8705.0,0.8113324500847123,0.3289341972862763,0.4838836477987421,0.4838836477987421,0.5161163522012578,0.8931265556193759,0.8931265556193759,0.10687344438062413,0.0,0.0,0.0,0.0033855474387418467,0.0048040592972238725,0.012989553177561584,0.012989553177561584,0.012989553177561597,0.011095746596508464,0.011095746596508464,0.011095746596508471,3,3,3,3,3,3,3,3,3,3,3
Baseline,Female,Consolidation,9553.0,368.0,9185.0,0.7911732858393883,0.13310544771050248,0.3197463768115942,0.3197463768115942,0.6802536231884058,0.931482489566322,0.931482489566322,0.06851751043367806,0.0,0.0,0.0,0.0016098069362187805,0.006976830380691678,0.05368710693020811,0.05368710693020811,0.053687106930208096,0.01748434297267113,0.01748434297267113,0.017484342972671166,3,3,3,3,3,3,3,3,3,3,3
Baseline,Female,Effusion,9553.0,1127.0,8426.0,0.8679262115479945,0.5076504015557498,0.6409346347234546,0.6409346347234546,0.35906536527654537,0.8910119471477174,0.8910119471477174,0.1089880528522826,0.0,0.0,0.0,0.0023079687815668235,0.004447084987179444,0.034892142932342364,0.034892142932342364,0.034892142932342295,0.016797487024490517,0.016797487024490517,0.01679748702449051,3,3,3,3,3,3,3,3,3,3,3
Baseline,Female,Infiltration,9553.0,1685.0,7868.0,0.7057091741730642,0.3402637570946621,0.5341246290801187,0.5341246290801187,0.4658753709198813,0.7583036773428232,0.7583036773428232,0.24169632265717675,0.0,0.0,0.0,0.00319831792156603,0.005935577805636027,0.05614193135326904,0.05614193135326904,0.05614193135326891,0.04989404455878594,0.04989404455878594,0.04989404455878601,3,3,3,3,3,3,3,3,3,3,3
Baseline,Female,Mass,9553.0,423.0,9130.0,0.8412598168301835,0.29122064942317666,0.38691883372734437,0.38691883372734437,0.6130811662726556,0.9625410733844468,0.9625410733844468,0.03745892661555306,0.0,0.0,0.0,0.003308721618106134,0.01331780238518894,0.07477079580453587,0.07477079580453587,0.0747707958045359,0.015706248346824936,0.015706248346824936,0.015706248346824898,3,3,3,3,3,3,3,3,3,3,3
Baseline,Female,Nodule,9553.0,576.0,8977.0,0.7641371764364898,0.2382174065202538,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.9423712450336043,0.9423712450336043,0.05762875496639557,0.0,0.0,0.0,0.00982261978462189,0.0016027077351796872,0.03325910427199312,0.03325910427199312,0.033259104271993106,0.012999145626201474,0.012999145626201474,0.012999145626201492,3,3,3,3,3,3,3,3,3,3,3
Baseline,Female,Pneumothorax,9553.0,574.0,8979.0,0.8506962108903223,0.34281368680046836,0.4796747967479675,0.4796747967479675,0.5203252032520326,0.9451312321342392,0.9451312321342392,0.0548687678657608,0.0,0.0,0.0,0.004848172025564983,0.024298673977431996,0.058156152745154226,0.058156152745154226,0.058156152745154156,0.009591060910366482,0.009591060910366482,0.00959106091036651,3,3,3,3,3,3,3,3,3,3,3
Baseline,Male,Atelectasis,12741.0,1359.0,11382.0,0.8064836569210851,0.3498931699405026,0.542065244051999,0.542065244051999,0.4579347559480009,0.8629414865577227,0.8629414865577227,0.13705851344227726,0.0,0.0,0.0,0.005285049390777139,0.008615906951276373,0.02440858919204695,0.02440858919204695,0.02440858919204693,0.01660098180917208,0.01660098180917208,0.016600981809172122,3,3,3,3,3,3,3,3,3,3,3
Baseline,Male,Consolidation,12741.0,583.0,12158.0,0.8178807037621949,0.15970887590244554,0.40537449971412237,0.40537449971412237,0.5946255002858777,0.9103470965619346,0.9103470965619346,0.08965290343806542,0.0,0.0,0.0,0.006985107987362851,0.008910349384451042,0.08305028489456875,0.08305028489456875,0.08305028489456877,0.02261615979434391,0.02261615979434391,0.022616159794343848,3,3,3,3,3,3,3,3,3,3,3
Baseline,Male,Effusion,12741.0,1426.0,11315.0,0.8752980906949345,0.4804537662479092,0.646096306685367,0.646096306685367,0.35390369331463295,0.8906171748416556,0.8906171748416556,0.10938282515834434,0.0,0.0,0.0,0.0015655679214877372,0.002595825587905406,0.06079718768361381,0.06079718768361381,0.060797187683613814,0.02265731989860804,0.02265731989860804,0.022657319898608072,3,3,3,3,3,3,3,3,3,3,3
Baseline,Male,Infiltration,12741.0,2412.0,10329.0,0.707489200922593,0.3536416166178363,0.5619126589275844,0.5619126589275844,0.4380873410724157,0.735792429083164,0.735792429083164,0.26420757091683605,0.0,0.0,0.0,0.0016280886819325965,0.0018689399624691378,0.03351120965445596,0.03351120965445596,0.03351120965445588,0.03800729798695469,0.03800729798695469,0.038007297986954756,3,3,3,3,3,3,3,3,3,3,3
Baseline,Male,Mass,12741.0,653.0,12088.0,0.8271218018688203,0.2944701292578598,0.4359367023991832,0.4359367023991832,0.5640632976008167,0.9458967571144937,0.9458967571144937,0.05410324288550624,0.0,0.0,0.0,0.004513203619526483,0.008519296576572698,0.0363148063539202,0.0363148063539202,0.03631480635392016,0.006803231390660294,0.006803231390660294,0.006803231390660341,3,3,3,3,3,3,3,3,3,3,3
Baseline,Male,Nodule,12741.0,704.0,12037.0,0.7690812584493267,0.21551407448307913,0.3664772727272727,0.3664772727272727,0.6335227272727272,0.9329013320040985,0.9329013320040985,0.06709866799590146,0.0,0.0,0.0,0.005848777287357922,0.006789751853090268,0.03072913018861355,0.03072913018861355,0.030729130188613542,0.018609349841852967,0.018609349841852967,0.018609349841852887,3,3,3,3,3,3,3,3,3,3,3
Baseline,Male,Pneumothorax,12741.0,446.0,12295.0,0.8840828146627105,0.2722231324162792,0.4080717488789238,0.4080717488789238,0.5919282511210762,0.9684424562830419,0.9684424562830419,0.03155754371695806,0.0,0.0,0.0,0.012695133877125757,0.007787146284972637,0.02718465393045324,0.02718465393045324,0.027184653930453283,0.006284851239349773,0.006284851239349773,0.006284851239349802,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Female,Atelectasis,9553.0,848.0,8705.0,0.8159222045813329,0.3362330721083365,0.514937106918239,0.514937106918239,0.48506289308176104,0.8858510434616121,0.8858510434616121,0.11414895653838786,0.0,0.0,0.0,0.0015391429754272234,0.0031001460530700937,0.043637387064081504,0.043637387064081504,0.04363738706408148,0.01438542568617915,0.01438542568617915,0.014385425686179008,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Female,Consolidation,9553.0,368.0,9185.0,0.7893987716267071,0.13664502161105987,0.3550724637681159,0.3550724637681159,0.6449275362318841,0.9196878969334059,0.9196878969334059,0.08031210306659403,0.0,0.0,0.0,0.0043496924304104075,0.009255096175653317,0.037093469618556654,0.037093469618556654,0.03709346961855669,0.012078707487310977,0.012078707487310977,0.012078707487310911,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Female,Effusion,9553.0,1127.0,8426.0,0.8710955646151793,0.5144452946470167,0.6072167997633836,0.6072167997633836,0.39278320023661645,0.9061239022074531,0.9061239022074531,0.09387609779254684,0.0,0.0,0.0,0.0005177808182153375,0.005784381997308978,0.03962551850071272,0.03962551850071272,0.039625518500712685,0.015049950488219738,0.015049950488219738,0.015049950488219733,3,3,3,3,3,3,3,3,3,3,3
Final Dynamic,Female,Infiltration,9553.0,1685.0,7868.0,0.7075669290071541,0.33556587561336687,0.5806132542037586,0.5806132542037586,0.4193867457962413,0.7180138959498391,0.7180138959498391,0.28198610405016095,0.0,0.0,0.0,0.002902017739445832,0.003942073895006813,0.05047069810945837,0.05047069810945837,0.05047069810945829,0.04270279801365359,0.04270279801365359,0.04270279801365357,3,3,3,3,3,3,3,3,3,3,3
