comparison,metric,point_difference_candidate_minus_reference,ci_level,ci_lower,ci_upper,zero_in_ci,n_bootstrap,resampling_unit
Final Dynamic - Static GRL,mean_FNR_gap,-0.007708745589184801,0.95,-0.0173219318776937,0.007216521986628835,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Static GRL,mean_FPR_gap,-0.0037556565084938664,0.95,-0.006748505272210317,0.0016754138862855258,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Static GRL,mean_Equalized_Odds_gap,-0.007229169166780434,0.95,-0.017160326890910856,0.006462183418292269,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Static GRL,mean_Worst_group_Recall,0.010385652540788215,0.95,0.00029609449130511004,0.018080326658597698,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Static GRL,mean_AUROC_gap,0.000291150031847898,0.95,-0.003578998524822865,0.003912070958316146,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Standard Dynamic GRL,macro_AUROC,0.003676130904190278,0.95,0.0018322658813661546,0.00558754152707559,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Standard Dynamic GRL,macro_AUPRC,0.0063754754497856725,0.95,0.002664532918033537,0.010116748004532095,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Standard Dynamic GRL,mean_FNR_gap,-0.01648821349001367,0.95,-0.02717322664216598,0.003099061743172228,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Standard Dynamic GRL,mean_FPR_gap,-0.004418730265195367,0.95,-0.00806576680240986,0.0009575439085938947,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Standard Dynamic GRL,mean_Equalized_Odds_gap,-0.01524149144505713,0.95,-0.026406223510710536,0.0025362769790550116,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Standard Dynamic GRL,mean_Worst_group_Recall,0.023519332464884468,0.95,0.010955822244044748,0.03221666132530944,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Standard Dynamic GRL,mean_AUROC_gap,-0.0005393084612706003,0.95,-0.004792660143184046,0.0033751126244758733,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
