epoch,lambda_start,lambda_end,lambda_mean,train_loss,train_disease_loss,train_sex_loss,val_disease_loss,val_disease_macro_auroc,val_disease_macro_auprc,val_sex_auroc,val_sex_auprc
1,0.0,0.07615259947729039,0.04337168850402031,1.5143075163674884,0.8316673524070829,0.6826401650720462,1.0091164390931746,0.7957675757418329,0.28961899768390603,0.5134427576427212,0.5683286387688089
2,0.07616111936191833,0.09640189802403286,0.08912125518233441,1.4663937929600892,0.7810025087204453,0.6853912842067708,1.0771778970235757,0.7844543661108391,0.27535074583143354,0.5310917988267925,0.584053427494164
3,0.09640333121784413,0.0995053953099788,0.09843255632106024,1.4131071876104475,0.727355646514727,0.6857515412581968,1.0989220812474605,0.7824262091534481,0.2694936657736338,0.5238872402957753,0.5910813936385322
4,0.09950559543247789,0.09993292453350322,0.09978598675728106,1.3605728735235834,0.6746499764951474,0.6859228958132639,1.236025954956966,0.7829852205758714,0.27217417307173003,0.4801117750873226,0.5393209460325687
5,0.09993295173110978,0.09999092042625952,0.09997100358966794,1.3046908919942106,0.6194401648931692,0.6852507275121444,1.292856969627019,0.771621061901486,0.2520728426460505,0.5295191148392959,0.5769165781832782
