model_variant,group,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
r50_static_grl,Female,Atelectasis,9553.0,848.0,8705.0,0.8059342024933258,0.3213615678248454,0.5192610062893082,0.5192610062893082,0.48073899371069184,0.869155657668007,0.869155657668007,0.13084434233199313,0.0,0.0,0.0,0.0017448523007741572,0.007541645929445282,0.08861095239338719,0.08861095239338719,0.08861095239338722,0.04350726882132585,0.04350726882132585,0.043507268821325745,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Female,Consolidation,9553.0,368.0,9185.0,0.7933894069568374,0.13115126274664995,0.30978260869565216,0.30978260869565216,0.6902173913043478,0.934095445472691,0.934095445472691,0.06590455452730902,0.0,0.0,0.0,0.006405621103463883,0.005998476742004432,0.034693329714140506,0.034693329714140506,0.034693329714140485,0.008440537790969361,0.008440537790969361,0.008440537790969337,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Female,Effusion,9553.0,1127.0,8426.0,0.8702789312920185,0.5015128818441763,0.6722863058266785,0.6722863058266785,0.32771369417332147,0.8743571485085845,0.8743571485085845,0.12564285149141544,0.0,0.0,0.0,0.003276548954628865,0.007875764413750683,0.042241368259122086,0.042241368259122086,0.0422413682591221,0.013845636516225147,0.013845636516225147,0.013845636516225132,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Female,Infiltration,9553.0,1685.0,7868.0,0.7046792099312243,0.33906763222689446,0.5489614243323443,0.5489614243323443,0.4510385756676558,0.7447042874089137,0.7447042874089137,0.25529571259108624,0.0,0.0,0.0,0.008165530052948221,0.010411539379057502,0.06439374253184074,0.06439374253184074,0.06439374253184077,0.05226215738978199,0.05226215738978199,0.052262157389781974,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Female,Mass,9553.0,423.0,9130.0,0.8403217425903916,0.29564058328872783,0.3459416863672183,0.3459416863672183,0.6540583136327817,0.9708652792990143,0.9708652792990143,0.029134720700985762,0.0,0.0,0.0,0.007765722097946701,0.00530392545177928,0.055860704802040265,0.055860704802040265,0.05586070480204031,0.008825756148049608,0.008825756148049608,0.008825756148049629,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Female,Nodule,9553.0,576.0,8977.0,0.7651688445574907,0.23460498357873594,0.3478009259259259,0.3478009259259259,0.6521990740740741,0.9382124689020088,0.9382124689020088,0.06178753109799116,0.0,0.0,0.0,0.008943115476892392,0.01339092544551308,0.011559597427915597,0.011559597427915597,0.011559597427915664,0.003423193388732927,0.003423193388732927,0.0034231933887329223,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Female,Pneumothorax,9553.0,574.0,8979.0,0.854969182835831,0.338303543101639,0.48257839721254353,0.48257839721254353,0.5174216027874564,0.9429038125997699,0.9429038125997699,0.05709618740023017,0.0,0.0,0.0,0.00022993352610239736,0.01646690056078969,0.004609322841575941,0.004609322841575941,0.004609322841575956,0.007534913975939888,0.007534913975939888,0.007534913975939918,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Male,Atelectasis,12741.0,1359.0,11382.0,0.8078801404538801,0.352147714944202,0.5543291636006867,0.5543291636006867,0.4456708363993132,0.854565688514028,0.854565688514028,0.145434311485972,0.0,0.0,0.0,0.00031138653298168524,0.0012837333635746823,0.07795802373866723,0.07795802373866723,0.07795802373866724,0.03975809265819612,0.03975809265819612,0.03975809265819613,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Male,Consolidation,12741.0,583.0,12158.0,0.8219417040978744,0.16267771326127636,0.3573470554602631,0.3573470554602631,0.642652944539737,0.9229039864012721,0.9229039864012721,0.07709601359872786,0.0,0.0,0.0,0.0013922791953815238,0.0027047057756769475,0.043876398039907755,0.043876398039907755,0.043876398039907755,0.010659068307557066,0.010659068307557066,0.010659068307557055,3,3,3,3,3,3,3,3,3,3,3
r50_static_grl,Male,Effusion,12741.0,1426.0,11315.0,0.875494566017919,0.48259196004531035,0.6732117812061711,0.6732117812061711,0.3267882187938289,0.8772720577404626,0.8772720577404626,0.12272794225953748,0.0,0.0,0.0,0.005852927432846548,0.010295427954230767,0.025196695965247803,0.025196695965247803,0.02519669596524779,0.015015030106344035,0.015015030106344035,0.01501503010634405,3,3,3,3,3,3,3,3,3,3,3
