model_variant,group,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
r50_dynamic_grl,Female,Atelectasis,9553.0,848.0,8705.0,0.8059035416644088,0.31569684027456263,0.4775943396226415,0.4775943396226415,0.5224056603773585,0.8904461037717787,0.8904461037717787,0.10955389622822133,0.0,0.0,0.0,0.0016009935485447923,0.007204780569595994,0.042206439075880356,0.042206439075880356,0.0422064390758804,0.011636220964616906,0.011636220964616906,0.011636220964616886,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Female,Consolidation,9553.0,368.0,9185.0,0.7904031857234148,0.12981836590357254,0.3269927536231884,0.3269927536231884,0.6730072463768116,0.9214298675376519,0.9214298675376519,0.07857013246234802,0.0,0.0,0.0,0.006508284949285803,0.007065297972172166,0.02450679213490703,0.02450679213490703,0.024506792134907005,0.007503828195121859,0.007503828195121859,0.007503828195121838,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Female,Effusion,9553.0,1127.0,8426.0,0.8685721783527599,0.49951214760620927,0.6240757172434191,0.6240757172434191,0.3759242827565809,0.8956009177941292,0.8956009177941292,0.10439908220587073,0.0,0.0,0.0,0.002053655670367497,0.0020921690817599205,0.009570357697346054,0.009570357697346054,0.009570357697346012,0.002377558224751459,0.002377558224751459,0.0023775582247514302,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Female,Infiltration,9553.0,1685.0,7868.0,0.7032549052441445,0.3409117862241426,0.4858555885262117,0.4858555885262117,0.5141444114737883,0.7977461447212337,0.7977461447212337,0.2022538552787663,0.0,0.0,0.0,0.006187933721796836,0.002047840472848409,0.03167901898490361,0.03167901898490361,0.03167901898490364,0.033316495876256104,0.033316495876256104,0.03331649587625613,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Female,Mass,9553.0,423.0,9130.0,0.838649504530048,0.299097336111798,0.375886524822695,0.375886524822695,0.624113475177305,0.9698430083972253,0.9698430083972253,0.030156991602774737,0.0,0.0,0.0,0.0067785337772441326,0.006210773625035961,0.04510350834122677,0.04510350834122677,0.04510350834122672,0.008636371160548295,0.008636371160548295,0.00863637116054831,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Female,Nodule,9553.0,576.0,8977.0,0.7637943185053161,0.2335313180788893,0.3634259259259259,0.3634259259259259,0.6365740740740741,0.9282611117299765,0.9282611117299765,0.0717388882700234,0.0,0.0,0.0,0.003103984714642876,0.004349735611770378,0.05769359574707003,0.05769359574707003,0.05769359574707005,0.021651226727680183,0.021651226727680183,0.021651226727680176,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Female,Pneumothorax,9553.0,574.0,8979.0,0.8472585536079217,0.32754715196167167,0.48664343786295006,0.48664343786295006,0.5133565621370499,0.9431265545532167,0.9431265545532167,0.05687344544678324,0.0,0.0,0.0,0.005969319276573502,0.02498022471780449,0.051159429707867646,0.051159429707867646,0.05115942970786761,0.008927989128274375,0.008927989128274375,0.008927989128274357,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Male,Atelectasis,12741.0,1359.0,11382.0,0.8068018055351373,0.3542016304167484,0.5302918812852587,0.5302918812852587,0.4697081187147412,0.8709951385228138,0.8709951385228138,0.1290048614771862,0.0,0.0,0.0,0.0015917622671470111,0.005696773224322439,0.03781028252971064,0.03781028252971064,0.037810282529710575,0.021900157602272725,0.021900157602272725,0.021900157602272725,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Male,Consolidation,12741.0,583.0,12158.0,0.8198224050384443,0.15591147194720867,0.41566609491137796,0.41566609491137796,0.5843339050886222,0.9028897296704502,0.9028897296704502,0.09711027032954982,0.0,0.0,0.0,0.00438428218925856,0.005914442302083785,0.033319159026491636,0.033319159026491636,0.033319159026491685,0.01622571405916159,0.01622571405916159,0.016225714059161536,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Male,Effusion,12741.0,1426.0,11315.0,0.8770112922954941,0.48953221074009984,0.647732585320243,0.647732585320243,0.35226741467975686,0.8935336573869495,0.8935336573869495,0.10646634261305053,0.0,0.0,0.0,0.0013375532413372356,0.0038735386560449035,0.01347689135614739,0.01347689135614739,0.013476891356147328,0.007057729357197562,0.007057729357197562,0.0070577293571975185,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Male,Infiltration,12741.0,2412.0,10329.0,0.7031655560795008,0.35022394917684413,0.5022111663902709,0.5022111663902709,0.49778883360972914,0.7829735050182335,0.7829735050182335,0.21702649498176654,0.0,0.0,0.0,0.004844386005549103,0.0031563655738176288,0.027000630112594747,0.027000630112594747,0.027000630112594765,0.030448880987404874,0.030448880987404874,0.03044888098740483,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Male,Mass,12741.0,653.0,12088.0,0.8313171504931168,0.2929215527136235,0.39152628892291985,0.39152628892291985,0.6084737110770801,0.9582781822192808,0.9582781822192808,0.04172181778071917,0.0,0.0,0.0,0.002768915558139522,0.00832063206447756,0.06258761360864834,0.06258761360864834,0.06258761360864842,0.012136973486076905,0.012136973486076905,0.012136973486076931,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Male,Nodule,12741.0,704.0,12037.0,0.7633448815332019,0.22235030779533305,0.41098484848484845,0.41098484848484845,0.5890151515151515,0.9170058984796876,0.9170058984796876,0.08299410152031238,0.0,0.0,0.0,0.013302677105579854,0.006219067131183778,0.042384167523739795,0.042384167523739795,0.042384167523739844,0.022672004082367133,0.022672004082367133,0.022672004082367147,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl,Male,Pneumothorax,12741.0,446.0,12295.0,0.8798858833448526,0.2581591504970304,0.42002989536621826,0.42002989536621826,0.5799701046337817,0.9637522027924631,0.9637522027924631,0.03624779720753694,0.0,0.0,0.0,0.005217460856938888,0.0134352065681461,0.060177189038566996,0.060177189038566996,0.06017718903856701,0.009486937953115324,0.009486937953115324,0.009486937953115324,3,3,3,3,3,3,3,3,3,3,3
