seed,epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc
123,1,1.043761317254733,0.9740295077767708,0.7942811208502804,0.2802264700205265
123,2,0.9547639230050531,0.9545462853743324,0.8006749711849893,0.28931159868109313
123,3,0.9015439142666727,0.9657966294572047,0.8055058993225004,0.29072864896263917
123,4,0.8504079293842276,0.9694264791528351,0.8051591218236334,0.294277779225046
123,5,0.7899703188081131,0.9781167159001707,0.8026581944073856,0.288983429677199
123,6,0.7261521159131213,1.0757060628345239,0.8032887048724863,0.2880413091303938
123,7,0.6576918114245511,1.0919519035955287,0.7943082890420771,0.2804171706740636
123,8,0.6025913993145752,1.2535618469778897,0.7910089035635041,0.27037642220691377
123,9,0.5486325891920255,1.3554919486523416,0.7848747309636923,0.2719482131947468
123,10,0.5023745931132835,1.41840364551431,0.7751334178585357,0.26012398809041665
123,11,0.45825230280210644,1.5736342711469566,0.7783242627138053,0.26070697415595473
123,12,0.419178141961166,1.5699520058297984,0.7734578137449918,0.2546910209338401
