model,label,selected_threshold,test_positive,test_AUROC,test_AUPRC,female_AUROC,male_AUROC,female_Recall,male_Recall,female_FNR,male_FNR,AUROC_gap,AUPRC_gap,Recall_gap,FNR_gap,Worst_group_AUROC,Worst_group_Recall
multilabel_baseline_resnet18,Infiltration,0.61,4097,0.6973834786688775,0.3427556216641437,0.6981185103163624,0.6974688029179946,0.5032640949554896,0.49543946932006633,0.4967359050445104,0.5045605306799337,0.0006497073983677826,0.012488095528885412,0.007824625635423299,0.007824625635423299,0.6974688029179946,0.49543946932006633
multilabel_baseline_resnet18,Effusion,0.71,2553,0.8733992492237858,0.493508021287504,0.8721116306459219,0.8745310405393428,0.6326530612244898,0.6451612903225806,0.3673469387755102,0.3548387096774194,0.002419409893420932,0.02715287850911502,0.012508229098090795,0.01250822909809085,0.8721116306459219,0.6326530612244898
multilabel_baseline_resnet18,Atelectasis,0.605,2207,0.7826387362684151,0.29745929211850297,0.7855199381184094,0.7789847750259276,0.5082547169811321,0.5695364238410596,0.49174528301886794,0.4304635761589404,0.0065351630924818105,0.02537408970414773,0.06128170685992751,0.061281706859927565,0.7789847750259276,0.5082547169811321
multilabel_baseline_resnet18,Nodule,0.7449999999999999,1280,0.7464482197879985,0.2094129803099194,0.7398466412622381,0.7535850044748389,0.2899305555555556,0.37926136363636365,0.7100694444444444,0.6207386363636364,0.013738363212600802,0.002936770203047917,0.08933080808080807,0.08933080808080807,0.7398466412622381,0.2899305555555556
multilabel_baseline_resnet18,Mass,0.8699999999999999,1076,0.8236793320253794,0.2787619500298861,0.8280756811902672,0.8202175876142591,0.2789598108747045,0.31852986217457885,0.7210401891252955,0.6814701378254211,0.007858093576008085,0.009124335650016024,0.03957005129987434,0.039570051299874454,0.8202175876142591,0.2789598108747045
multilabel_baseline_resnet18,Pneumothorax,0.84,1020,0.8515079163187321,0.2750419684945865,0.8384734725586959,0.8623787058430913,0.39547038327526135,0.38565022421524664,0.6045296167247387,0.6143497757847534,0.023905233284395422,0.08504873035780905,0.00982015906001471,0.009820159060014655,0.8384734725586959,0.38565022421524664
multilabel_baseline_resnet18,Consolidation,0.7449999999999999,951,0.8048019497080212,0.13814588678133094,0.7868389209722847,0.816203435779955,0.296195652173913,0.34476843910806176,0.7038043478260869,0.6552315608919382,0.029364514807670328,0.044821314989552094,0.04857278693414874,0.04857278693414868,0.7868389209722847,0.296195652173913
