model_variant,model,seed,n_labels,selected_labels,lambda_max,schedule_gamma,best_epoch,best_val_macro_auroc,test_macro_auroc,test_macro_auprc,test_sex_auroc,test_sex_accuracy,mean_FNR_gap,mean_FPR_gap,mean_Equalized_Odds_gap,mean_Worst_group_Recall,mean_AUROC_gap
r50_dynamic_grl,r50_dynamic_grl,42,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,0.1,10.0,4,0.8088214855920024,0.8094040164350556,0.3089377893090065,0.548012290176148,0.5763434107831703,0.03433444860057481,0.00964148462492675,0.03433444860057476,0.4450680597849241,0.013229748074140981
r50_dynamic_grl,r50_dynamic_grl,123,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,0.1,10.0,3,0.8087316996237022,0.806298762333671,0.3027353790822928,0.5633150176437498,0.563156006100296,0.059145563798036385,0.02076633250257241,0.05944507106516927,0.4251272716037878,0.011825641377656484
r50_dynamic_grl,r50_dynamic_grl,2026,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,0.1,10.0,3,0.8091856678186182,0.8072843740657426,0.3034150714942304,0.5562429796422493,0.5820400107652283,0.042368911589251726,0.013536503501257471,0.04239919709671981,0.44593385982625006,0.014557193424766626
