model_variant,seed,model,label,selected_threshold,test_AUROC,test_AUPRC,female_AUROC,male_AUROC,female_FNR,male_FNR,female_FPR,male_FPR,FNR_gap,FPR_gap,Equalized_Odds_gap,AUROC_gap,AUPRC_gap,Worst_group_Recall,Worst_group_AUROC
baseline,42,r50_baseline,Infiltration,0.4749999999999999,0.7042214027586696,0.3440127894251298,0.7063623225354854,0.7020890802064805,0.4682492581602374,0.4017412935323383,0.237290289781393,0.30477296930971054,0.0665079646278991,0.06748267952831755,0.06748267952831755,0.004273242329004834,0.012610234687307487,0.5317507418397626,0.7020890802064805
baseline,42,r50_baseline,Effusion,0.63,0.8701771469714155,0.48765938962548266,0.864749978464848,0.8746019104826159,0.34072759538598046,0.35133239831697055,0.12129124139568004,0.1171895713654441,0.010604802930990087,0.0041016700302359405,0.010604802930989976,0.009851932017767906,0.016239712343423418,0.6486676016830295,0.864749978464848
baseline,42,r50_baseline,Atelectasis,0.595,0.8014088308066526,0.3252673846893504,0.798276107311998,0.8021419255504443,0.5011792452830188,0.43414275202354674,0.127972429638139,0.15884730275874187,0.06703649325947209,0.030874873120602858,0.0670364932594722,0.003865818238446228,0.04182069494763668,0.4988207547169811,0.798276107311998
baseline,42,r50_baseline,Nodule,0.6799999999999999,0.7544174605322641,0.21518563916499397,0.7580910861708317,0.7570062737430799,0.6892361111111112,0.6122159090909091,0.049236938843711706,0.0795048600149539,0.0770202020202021,0.03026792117124219,0.07702020202020199,0.0010848124277517135,0.01704582913698663,0.3107638888888889,0.7570062737430799
baseline,42,r50_baseline,Mass,0.8799999999999999,0.8299272273909262,0.2804525067543075,0.8401005699134384,0.822677217505521,0.6950354609929078,0.6064318529862175,0.023658269441401973,0.045334215751158174,0.08860360800669032,0.0216759463097562,0.08860360800669037,0.01742335240791737,0.004027111464532884,0.3049645390070922,0.822677217505521
baseline,42,r50_baseline,Pneumothorax,0.725,0.8673107374001588,0.2989101331958191,0.8535311584560646,0.8760878405856038,0.4808362369337979,0.5381165919282511,0.06704532798752645,0.04351362342415616,0.05728035499445322,0.02353170456337029,0.057280354994453164,0.022556682129539207,0.05832504656040982,0.4618834080717489,0.8535311584560646
baseline,42,r50_baseline,Consolidation,0.7599999999999999,0.8132464178667465,0.15591801160789848,0.7962583725828974,0.8231947877813478,0.657608695652174,0.6106346483704974,0.07087642896026129,0.07270932719197236,0.046974047281676534,0.0018328982317110665,0.04697404728167648,0.02693641519845036,0.05022150174089576,0.3423913043478261,0.7962583725828974
