group,n,positive,threshold,AUROC,AUPRC,Recall,Specificity,FNR,TP,FP,TN,FN
Female,9553,1127,0.715,0.862899850907246,0.47686818411460824,0.5874001774622892,0.9037502967006883,0.4125998225377107,662,811,7615,465
Male,12741,1426,0.715,0.8805304120992689,0.5068845596564443,0.5995792426367461,0.9111798497569598,0.40042075736325383,855,1005,10310,571
