model_variant,model,seed,n_labels,selected_labels,schedule_mode,lambda_max,selected_common_epoch,selection_status,selection_target_validation_EO_gap,aggregate_selected_validation_EO_gap,selected_seed_validation_EO_gap,selected_seed_val_macro_auroc,selected_seed_val_macro_auprc,test_macro_auroc,test_macro_auprc,test_conditional_adversary_mean_label_auroc,mean_FNR_gap,mean_FPR_gap,mean_Equalized_Odds_gap,mean_Worst_group_Recall,mean_AUROC_gap
r50_dynamic_eo_gradnorm_common_epoch_v2,r50_dynamic_eo_gradnorm_common_epoch_v2,42,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,dynamic,0.1,4,aggregate_validation_EO_constraint_met,0.07262308707454705,0.06531194362898644,0.08068046879514977,0.809431060555138,0.3006808388281862,0.8114336354206799,0.31076007500382186,0.5115495881506512,0.03247773408619455,0.010177625951676539,0.03343073884640723,0.47833042712010787,0.011994899998211683
r50_dynamic_eo_gradnorm_common_epoch_v2,r50_dynamic_eo_gradnorm_common_epoch_v2,123,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,dynamic,0.1,4,aggregate_validation_EO_constraint_met,0.07262308707454705,0.06531194362898644,0.0628067099151201,0.8106246731766819,0.29799177466347043,0.8096296479211222,0.310407866170276,0.5129993440836118,0.026455029466663386,0.012228729792057039,0.02872353170551551,0.46008375876578594,0.01300473100229338
r50_dynamic_eo_gradnorm_common_epoch_v2,r50_dynamic_eo_gradnorm_common_epoch_v2,2026,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,dynamic,0.1,4,aggregate_validation_EO_constraint_met,0.07262308707454705,0.06531194362898644,0.052448652176689425,0.8101622482005134,0.3027954908145581,0.8129522622052381,0.31304672506078896,0.502938471216989,0.027451519964964064,0.008281774089436979,0.028299971875369607,0.4482730027237218,0.012995026492247264
